osm_id,code,fclass,name,type,KO,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,geom_x,geom_y,xcoord,ycoord,S1_w,S1-3_w,S1-5_w
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,24,0,0,24,247.68659676327533,319.62292479117406,7642539,5691816,7642538.972211549989879,5691816.360257931053638,-0.0299,-1.4894,-1.4907
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,25,0,0,25,258.15311727555155,229.64481873132749,7642529,5691817,7642528.539809900335968,5691817.204679314047098,-0.0333,-1.5277,-1.5293
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,26,0,0,26,283.46308049832561,139.65918233743520,7642526,5691792,7642526.482644114643335,5691791.978456702083349,-0.0277,-1.5638,-1.5658
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,27,0,0,27,298.17176930481918,139.65875507045186,7642541,5691791,7642541.142788575030863,5691790.784433752298355,-0.0238,-1.5098,-1.5115
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,28,0,0,28,311.85099660336272,229.65198742863123,7642540,5691777,7642540.031159469857812,5691777.150449000298977,-0.0214,-1.5261,-1.528
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,29,0,0,29,339.59213646272860,319.65213986063611,7642512,5691779,7642512.381044847890735,5691779.395889288745821,-0.0283,-1.6258,-1.6284
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,30,0,0,30,353.27136240471378,49.90454250493578,7642513,5691793,7642513.492746387608349,5691793.029866773635149,-0.0315,-1.6098,-1.6122
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,31,0,0,31,353.46083922012303,49.90528783864314,7642514,5691793,7642513.681459031999111,5691793.012866730801761,-0.0315,-1.6092,-1.6115
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,32,0,0,32,378.70367506424935,319.66528715391985,7642516,5691818,7642515.733581981621683,5691818.172150363214314,-0.0379,-1.5734,-1.5752
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,33,0,0,33,389.20603869701921,229.64310961800459,7642505,5691819,7642505.266048080287874,5691819.026770676486194,-0.0419,-1.6094,-1.6114
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,34,0,0,34,392.03792150130658,229.62988731793001,7642505,5691816,7642505.038014518097043,5691816.204083851538599,-0.0411,-1.6138,-1.6159
357000954,1500,building,Szkoła Podstawowa im. Jana i Kazimierza Bogdanowiczów,,2,35,0,0,35,398.79611115846421,319.65064043936189,7642498,5691817,7642498.301984418183565,5691816.750916479155421,-0.0438,-1.6364,-1.6386
